Date|Open|High|Low|Close*|Adj. close**|Volume
20 Sept 2024|0.4900|0.4950|0.4900|0.4950|0.4950|943,058
19 Sept 2024|0.4950|0.5000|0.4900|0.4900|0.4900|148,796
18 Sept 2024|0.4900|0.4950|0.4875|0.4900|0.4900|104,777
17 Sept 2024|0.4900|0.4925|0.4850|0.4850|0.4850|204,141
16 Sept 2024|0.4950|0.4950|0.4900|0.4900|0.4900|960,724
13 Sept 2024|0.5000|0.5050|0.4950|0.5000|0.5000|258,127
12 Sept 2024|0.4950|0.5050|0.4900|0.4950|0.4950|594,227
12 Sept 2024|0.011704Dividend
11 Sept 2024|0.5100|0.5100|0.5025|0.5050|0.4933|308,513
10 Sept 2024|0.5050|0.5100|0.5025|0.5100|0.4982|245,053
09 Sept 2024|0.5100|0.5100|0.5050|0.5050|0.4933|220,122
06 Sept 2024|0.5150|0.5150|0.5050|0.5150|0.5031|293,925
05 Sept 2024|0.5000|0.5150|0.5000|0.5150|0.5031|451,195
04 Sept 2024|0.5100|0.5100|0.5050|0.5050|0.4933|754,112
03 Sept 2024|0.5100|0.5200|0.5050|0.5200|0.5079|614,155
02 Sept 2024|0.5100|0.5150|0.5025|0.5100|0.4982|858,587
30 Aug 2024|0.5150|0.5150|0.4975|0.5100|0.4982|1,128,836
29 Aug 2024|0.5050|0.5150|0.5000|0.5150|0.5031|584,335
28 Aug 2024|0.5150|0.5150|0.5050|0.5150|0.5031|325,165
27 Aug 2024|0.5100|0.5150|0.5050|0.5100|0.4982|703,459
26 Aug 2024|0.5200|0.5250|0.5150|0.5150|0.5031|214,626
23 Aug 2024|0.5250|0.5250|0.5175|0.5200|0.5079|73,112
22 Aug 2024|0.5150|0.5250|0.5150|0.5250|0.5128|434,315
21 Aug 2024|0.5250|0.5250|0.5150|0.5150|0.5031|239,110
20 Aug 2024|0.5100|0.5250|0.5100|0.5250|0.5128|813,476
19 Aug 2024|0.5150|0.5200|0.5100|0.5100|0.4982|160,563
16 Aug 2024|0.5150|0.5200|0.5100|0.5200|0.5079|164,077
15 Aug 2024|0.5100|0.5100|0.5050|0.5050|0.4933|130,251
14 Aug 2024|0.5100|0.5100|0.5000|0.5100|0.4982|283,366
13 Aug 2024|0.5050|0.5100|0.5000|0.5000|0.4884|570,199
12 Aug 2024|0.5050|0.5150|0.5000|0.5000|0.4884|130,453
09 Aug 2024|0.5050|0.5150|0.5050|0.5050|0.4933|213,915
08 Aug 2024|0.5050|0.5100|0.5000|0.5050|0.4933|478,290
07 Aug 2024|0.5000|0.5100|0.5000|0.5000|0.4884|889,976
06 Aug 2024|0.5050|0.5100|0.5000|0.5000|0.4884|917,903
05 Aug 2024|0.5250|0.5250|0.5050|0.5100|0.4982|763,765
02 Aug 2024|0.5350|0.5350|0.5250|0.5250|0.5128|1,824,740
01 Aug 2024|0.5350|0.5400|0.5300|0.5400|0.5275|814,960
31 July 2024|0.5300|0.5400|0.5275|0.5350|0.5226|183,252
30 July 2024|0.5250|0.5350|0.5250|0.5300|0.5177|145,041
29 July 2024|0.5300|0.5400|0.5300|0.5300|0.5177|860,663
26 July 2024|0.5400|0.5425|0.5225|0.5350|0.5226|822,059
25 July 2024|0.5400|0.5450|0.5350|0.5450|0.5324|556,150
24 July 2024|0.5250|0.5450|0.5250|0.5350|0.5226|755,857
23 July 2024|0.5100|0.5300|0.5100|0.5150|0.5031|1,387,076
22 July 2024|0.4950|0.5125|0.4950|0.5100|0.4982|1,189,738
19 July 2024|0.5000|0.5000|0.4900|0.4900|0.4786|346,097
18 July 2024|0.4950|0.5000|0.4950|0.5000|0.4884|666,894
17 July 2024|0.4950|0.4950|0.4900|0.4900|0.4786|219,187
16 July 2024|0.4900|0.4925|0.4850|0.4900|0.4786|523,596
15 July 2024|0.4900|0.4900|0.4850|0.4850|0.4738|247,775
12 July 2024|0.4850|0.4900|0.4800|0.4850|0.4738|234,025
11 July 2024|0.4800|0.4850|0.4800|0.4800|0.4689|255,687
10 July 2024|0.4850|0.4850|0.4800|0.4800|0.4689|119,956
09 July 2024|0.4850|0.4850|0.4800|0.4800|0.4689|286,186
08 July 2024|0.4850|0.4875|0.4800|0.4800|0.4689|196,098
05 July 2024|0.4900|0.4900|0.4825|0.4850|0.4738|638,440
04 July 2024|0.4900|0.4900|0.4850|0.4850|0.4738|314,490
03 July 2024|0.4850|0.4900|0.4850|0.4850|0.4738|179,395
02 July 2024|0.4800|0.4900|0.4800|0.4850|0.4738|36,108
01 July 2024|0.4850|0.4900|0.4800|0.4800|0.4689|231,786
28 June 2024|0.4850|0.4900|0.4800|0.4800|0.4689|836,693
27 June 2024|0.4850|0.4900|0.4800|0.4800|0.4689|610,623
26 June 2024|0.4900|0.4950|0.4850|0.4850|0.4738|1,136,218
25 June 2024|0.4900|0.4975|0.4850|0.4850|0.4738|861,113
24 June 2024|0.4950|0.5000|0.4875|0.4900|0.4786|563,679
21 June 2024|0.4850|0.5000|0.4850|0.5000|0.4884|809,056
20 June 2024|0.4900|0.4900|0.4850|0.4850|0.4738|210,900
19 June 2024|0.4950|0.4950|0.4850|0.4900|0.4786|402,847
18 June 2024|0.4950|0.5000|0.4900|0.4900|0.4786|163,938
17 June 2024|0.4950|0.5000|0.4950|0.4950|0.4835|164,767
14 June 2024|0.5050|0.5050|0.4950|0.4950|0.4835|471,461
13 June 2024|0.5000|0.5050|0.4950|0.5050|0.4933|705,554
12 June 2024|0.4950|0.5000|0.4950|0.5000|0.4884|671,527
11 June 2024|0.4950|0.5000|0.4900|0.4900|0.4786|335,865
07 June 2024|0.4900|0.5000|0.4900|0.5000|0.4884|432,582
06 June 2024|0.4950|0.5000|0.4900|0.4900|0.4786|455,048
05 June 2024|0.4950|0.4950|0.4900|0.4950|0.4835|48,403
04 June 2024|0.4900|0.4950|0.4850|0.4950|0.4835|490,916
03 June 2024|0.4900|0.4950|0.4850|0.4850|0.4738|267,177
31 May 2024|0.4850|0.4925|0.4800|0.4800|0.4689|479,985
30 May 2024|0.4800|0.4900|0.4800|0.4800|0.4689|213,147
29 May 2024|0.4900|0.4950|0.4800|0.4800|0.4689|607,709
28 May 2024|0.4850|0.4950|0.4850|0.4900|0.4786|311,247
27 May 2024|0.4850|0.4950|0.4850|0.4950|0.4835|141,582
24 May 2024|0.4900|0.4950|0.4875|0.4950|0.4835|90,270
23 May 2024|0.4900|0.4950|0.4850|0.4900|0.4786|229,748
22 May 2024|0.4900|0.4950|0.4850|0.4850|0.4738|596,706
21 May 2024|0.4950|0.5000|0.4900|0.4900|0.4786|223,950
20 May 2024|0.4950|0.5000|0.4900|0.4900|0.4786|465,054
17 May 2024|0.4950|0.5000|0.4900|0.4950|0.4835|255,462
16 May 2024|0.5000|0.5000|0.4900|0.4950|0.4835|533,048
15 May 2024|0.4900|0.5000|0.4850|0.5000|0.4884|430,100
14 May 2024|0.4950|0.4975|0.4850|0.4900|0.4786|547,245
13 May 2024|0.5050|0.5050|0.4925|0.4950|0.4835|493,644
10 May 2024|0.5050|0.5150|0.5000|0.5050|0.4933|575,831
09 May 2024|0.4950|0.5100|0.4900|0.5100|0.4982|855,615
08 May 2024|0.4800|0.5000|0.4800|0.4950|0.4835|1,943,482
07 May 2024|0.4700|0.4800|0.4675|0.4800|0.4689|1,001,152
06 May 2024|0.4900|0.4900|0.4650|0.4750|0.4640|3,315,036
03 May 2024|0.4900|0.4950|0.4850|0.4900|0.4786|510,726
02 May 2024|0.4950|0.4950|0.4850|0.4850|0.4738|1,020,131
01 May 2024|0.5000|0.5000|0.4950|0.4950|0.4835|672,539
30 Apr 2024|0.5000|0.5100|0.5000|0.5000|0.4884|741,047
29 Apr 2024|0.5000|0.5000|0.4950|0.4950|0.4835|899,135
26 Apr 2024|0.5100|0.5100|0.5000|0.5000|0.4884|1,917,198
24 Apr 2024|0.5200|0.5200|0.5075|0.5100|0.4982|1,320,352
23 Apr 2024|0.5200|0.5250|0.5100|0.5150|0.5031|2,099,681
22 Apr 2024|0.5150|0.5300|0.5150|0.5250|0.5128|1,133,836
19 Apr 2024|0.5450|0.5450|0.5200|0.5200|0.5079|1,026,145
18 Apr 2024|0.5400|0.5450|0.5350|0.5350|0.5226|472,235
17 Apr 2024|0.5500|0.5500|0.5400|0.5400|0.5275|813,842
16 Apr 2024|0.5550|0.5550|0.5400|0.5450|0.5324|988,519
15 Apr 2024|0.5500|0.5600|0.5500|0.5550|0.5421|269,735
12 Apr 2024|0.5550|0.5600|0.5525|0.5600|0.5470|439,211
11 Apr 2024|0.5550|0.5600|0.5500|0.5550|0.5421|1,362,835
10 Apr 2024|0.5550|0.5575|0.5500|0.5550|0.5421|636,495
09 Apr 2024|0.5550|0.5550|0.5500|0.5500|0.5373|3,067,786
08 Apr 2024|0.5550|0.5600|0.5500|0.5550|0.5421|1,204,839
05 Apr 2024|0.5600|0.5600|0.5550|0.5600|0.5470|104,173
04 Apr 2024|0.5550|0.5600|0.5550|0.5550|0.5421|826,496
03 Apr 2024|0.5600|0.5600|0.5550|0.5550|0.5421|754,252
02 Apr 2024|0.5550|0.5600|0.5525|0.5600|0.5470|907,728
28 Mar 2024|0.5550|0.5600|0.5550|0.5600|0.5470|1,152,074
27 Mar 2024|0.5550|0.5550|0.5500|0.5550|0.5421|429,898
26 Mar 2024|0.5550|0.5550|0.5500|0.5500|0.5373|406,384
25 Mar 2024|0.5550|0.5600|0.5500|0.5500|0.5373|1,605,080
22 Mar 2024|0.5550|0.5600|0.5500|0.5550|0.5421|317,239
21 Mar 2024|0.5550|0.5550|0.5500|0.5550|0.5421|530,204
20 Mar 2024|0.5550|0.5550|0.5500|0.5550|0.5421|196,874
19 Mar 2024|0.5550|0.5600|0.5500|0.5550|0.5421|605,932
18 Mar 2024|0.5600|0.5600|0.5550|0.5600|0.5470|565,082
15 Mar 2024|0.5500|0.5650|0.5500|0.5650|0.5519|1,105,521
14 Mar 2024|0.5500|0.5550|0.5500|0.5550|0.5421|381,518
13 Mar 2024|0.5550|0.5550|0.5500|0.5500|0.5373|633,366
12 Mar 2024|0.5550|0.5600|0.5550|0.5550|0.5421|445,786
11 Mar 2024|0.5550|0.5600|0.5550|0.5550|0.5421|555,666
08 Mar 2024|0.5600|0.5600|0.5550|0.5550|0.5421|473,585
07 Mar 2024|0.5600|0.5700|0.5550|0.5700|0.5568|968,327
07 Mar 2024|0.01583Dividend
06 Mar 2024|0.5700|0.5700|0.5625|0.5700|0.5413|324,720
05 Mar 2024|0.5650|0.5700|0.5600|0.5650|0.5366|363,153
04 Mar 2024|0.5700|0.5750|0.5650|0.5650|0.5366|838,162
01 Mar 2024|0.5750|0.5750|0.5650|0.5650|0.5366|690,789
29 Feb 2024|0.5550|0.5750|0.5550|0.5750|0.5461|1,176,106
28 Feb 2024|0.5600|0.5600|0.5500|0.5550|0.5271|700,138
27 Feb 2024|0.5650|0.5700|0.5575|0.5600|0.5318|1,324,625
26 Feb 2024|0.5700|0.5750|0.5650|0.5700|0.5413|602,601
23 Feb 2024|0.5800|0.5800|0.5650|0.5750|0.5461|581,405
22 Feb 2024|0.5750|0.5850|0.5750|0.5800|0.5508|491,920
21 Feb 2024|0.5700|0.5850|0.5700|0.5800|0.5508|1,528,516
20 Feb 2024|0.5750|0.5750|0.5650|0.5700|0.5413|563,071
19 Feb 2024|0.5900|0.5950|0.5800|0.5800|0.5508|1,647,741
16 Feb 2024|0.6000|0.6000|0.5950|0.5975|0.5674|147,280
15 Feb 2024|0.6000|0.6000|0.5975|0.6000|0.5698|167,127
14 Feb 2024|0.6000|0.6050|0.6000|0.6000|0.5698|760,656
13 Feb 2024|0.6000|0.6050|0.6000|0.6000|0.5698|412,971
12 Feb 2024|0.6000|0.6050|0.6000|0.6000|0.5698|189,369
09 Feb 2024|0.6000|0.6100|0.6000|0.6000|0.5698|1,005,079
08 Feb 2024|0.6000|0.6050|0.5950|0.6000|0.5698|415,059
07 Feb 2024|0.6000|0.6050|0.5950|0.6000|0.5698|614,477
06 Feb 2024|0.6000|0.6050|0.6000|0.6050|0.5746|227,597
05 Feb 2024|0.6000|0.6050|0.6000|0.6000|0.5698|193,188
02 Feb 2024|0.5950|0.6050|0.5950|0.6000|0.5698|270,359
01 Feb 2024|0.6000|0.6000|0.5950|0.5975|0.5674|144,399
31 Jan 2024|0.6000|0.6000|0.5950|0.6000|0.5698|734,827
30 Jan 2024|0.6000|0.6050|0.5950|0.6000|0.5698|153,189
29 Jan 2024|0.6000|0.6050|0.5975|0.6000|0.5698|211,972
25 Jan 2024|0.6000|0.6050|0.5950|0.6000|0.5698|188,821
24 Jan 2024|0.6000|0.6050|0.5950|0.5950|0.5651|966,763
23 Jan 2024|0.5950|0.6000|0.5950|0.5950|0.5651|139,401
22 Jan 2024|0.6000|0.6000|0.5950|0.5950|0.5651|462,634
19 Jan 2024|0.6000|0.6050|0.5950|0.6000|0.5698|493,051
18 Jan 2024|0.6000|0.6050|0.5950|0.6000|0.5698|374,412
17 Jan 2024|0.5950|0.6050|0.5900|0.6000|0.5698|627,016
16 Jan 2024|0.5950|0.6000|0.5900|0.5950|0.5651|239,906
15 Jan 2024|0.5900|0.5950|0.5900|0.5950|0.5651|113,071
12 Jan 2024|0.6000|0.6000|0.5900|0.5900|0.5603|338,623
11 Jan 2024|0.5950|0.6000|0.5925|0.6000|0.5698|318,731
10 Jan 2024|0.6000|0.6000|0.5950|0.5950|0.5651|217,992
09 Jan 2024|0.5950|0.6000|0.5950|0.6000|0.5698|186,293
08 Jan 2024|0.6000|0.6050|0.5900|0.5900|0.5603|392,517
05 Jan 2024|0.5950|0.6000|0.5900|0.5950|0.5651|472,880
04 Jan 2024|0.6000|0.6000|0.5900|0.5900|0.5603|130,465
03 Jan 2024|0.5950|0.5950|0.5900|0.5950|0.5651|285,518
02 Jan 2024|0.5850|0.6000|0.5850|0.6000|0.5698|907,124
29 Dec 2023|0.5850|0.5950|0.5850|0.5850|0.5556|490,975
28 Dec 2023|0.5850|0.5900|0.5800|0.5850|0.5556|338,811
27 Dec 2023|0.5850|0.5950|0.5800|0.5800|0.5508|660,630
22 Dec 2023|0.5800|0.5900|0.5750|0.5800|0.5508|465,891
21 Dec 2023|0.5800|0.5800|0.5750|0.5750|0.5461|1,092,317
