Date|Open|High|Low|Close*|Adj. close**|Volume
20 Sept 2024|57.35|57.80|56.81|57.49|57.49|708,251
19 Sept 2024|57.73|57.79|56.79|57.37|57.37|1,634,131
18 Sept 2024|56.41|56.99|56.05|56.99|56.99|960,569
17 Sept 2024|56.21|56.94|56.12|56.69|56.69|841,607
16 Sept 2024|55.55|55.93|55.34|55.93|55.93|675,909
13 Sept 2024|55.66|55.95|54.88|55.43|55.43|825,557
12 Sept 2024|55.10|55.45|54.54|55.26|55.26|850,398
11 Sept 2024|55.39|55.50|54.38|54.66|54.66|1,085,442
10 Sept 2024|54.72|55.38|54.10|54.95|54.95|762,538
09 Sept 2024|53.83|54.71|53.83|54.71|54.71|782,135
06 Sept 2024|54.39|55.19|53.97|54.89|54.89|902,197
05 Sept 2024|54.40|54.64|53.73|54.10|54.10|740,260
04 Sept 2024|53.75|54.37|53.37|54.37|54.37|1,128,585
03 Sept 2024|54.41|54.85|54.15|54.55|54.55|781,885
02 Sept 2024|54.61|54.65|53.32|54.41|54.41|587,834
30 Aug 2024|54.42|54.71|53.80|54.71|54.71|2,122,128
29 Aug 2024|54.29|54.50|53.51|54.04|54.04|925,591
28 Aug 2024|53.69|54.20|52.85|54.19|54.19|1,033,858
27 Aug 2024|53.94|54.15|53.18|54.12|54.12|847,648
26 Aug 2024|52.98|53.81|52.95|53.71|53.71|631,090
23 Aug 2024|53.78|53.92|52.42|52.84|52.84|1,253,876
22 Aug 2024|53.83|54.00|53.01|53.54|53.54|647,457
21 Aug 2024|53.50|53.75|53.09|53.61|53.61|813,543
20 Aug 2024|54.72|54.81|53.51|53.51|53.51|792,420
19 Aug 2024|54.29|55.06|54.19|54.41|54.41|546,928
16 Aug 2024|54.45|54.79|53.47|54.44|54.44|1,346,918
15 Aug 2024|53.79|54.25|53.47|54.10|54.10|817,060
14 Aug 2024|53.22|53.72|52.62|53.57|53.57|591,472
13 Aug 2024|52.70|53.08|52.30|52.81|52.81|525,679
12 Aug 2024|52.33|52.77|51.91|52.49|52.49|382,776
09 Aug 2024|52.75|52.75|51.37|51.89|51.89|728,833
08 Aug 2024|51.10|51.88|50.96|51.76|51.76|742,846
07 Aug 2024|51.12|51.98|50.83|51.10|51.10|1,034,254
06 Aug 2024|49.69|51.03|49.42|51.01|51.01|1,497,123
05 Aug 2024|51.28|51.94|49.49|49.75|49.75|1,521,603
02 Aug 2024|53.13|53.81|52.09|52.25|52.25|1,981,898
01 Aug 2024|54.91|54.94|54.32|54.32|54.32|955,406
31 July 2024|54.21|54.50|53.56|54.22|54.22|1,183,804
30 July 2024|53.20|54.10|53.06|53.90|53.90|1,013,852
29 July 2024|53.10|53.94|53.02|53.92|53.92|1,317,233
26 July 2024|52.90|53.00|52.31|52.59|52.59|767,927
25 July 2024|52.12|52.67|52.00|52.55|52.55|1,381,286
24 July 2024|52.87|53.13|52.40|52.78|52.78|924,272
23 July 2024|53.27|53.46|52.54|52.81|52.81|824,808
22 July 2024|52.77|52.92|52.33|52.62|52.62|658,716
19 July 2024|52.29|53.11|52.02|53.11|53.11|1,568,489
18 July 2024|52.50|52.73|52.12|52.57|52.57|1,081,843
17 July 2024|52.20|52.87|51.94|52.39|52.39|1,602,086
16 July 2024|53.49|53.50|51.91|51.91|51.91|2,065,619
15 July 2024|53.31|53.75|52.97|53.66|53.66|957,746
12 July 2024|52.75|53.10|52.30|52.92|52.92|1,010,808
11 July 2024|51.83|52.17|51.60|52.01|52.01|1,101,105
10 July 2024|51.27|51.73|51.03|51.70|51.70|1,154,655
09 July 2024|51.10|51.85|50.60|51.52|51.52|1,144,217
08 July 2024|50.96|51.60|50.65|50.65|50.65|950,422
05 July 2024|50.27|51.04|50.27|50.96|50.96|751,014
04 July 2024|50.23|50.39|50.00|50.21|50.21|722,387
03 July 2024|49.95|50.10|49.11|49.74|49.74|674,854
02 July 2024|50.14|50.44|49.59|49.59|49.59|1,070,915
01 July 2024|49.78|50.23|49.55|50.04|50.04|866,745
28 June 2024|49.90|50.30|49.72|49.76|49.76|1,315,433
27 June 2024|49.25|49.70|48.80|49.43|49.43|1,430,794
26 June 2024|49.64|50.27|49.26|50.02|50.02|1,745,556
25 June 2024|49.59|50.05|49.21|49.98|49.98|1,486,256
24 June 2024|49.07|49.35|48.36|49.01|49.01|812,384
