Date|Open|High|Low|Close*|Adj. close**|Volume
20 Sept 2024|28.37|28.67|28.11|28.50|28.50|1,340,298
19 Sept 2024|28.99|29.00|28.23|28.31|28.31|1,180,367
18 Sept 2024|29.14|29.29|28.76|28.76|28.76|730,807
17 Sept 2024|29.02|29.22|28.99|29.11|29.11|1,068,611
16 Sept 2024|28.92|29.12|28.72|28.93|28.93|736,502
13 Sept 2024|29.15|29.44|28.82|28.86|28.86|1,064,289
12 Sept 2024|29.00|29.11|28.80|29.11|29.11|1,132,126
11 Sept 2024|28.84|28.96|28.67|28.89|28.89|1,682,764
10 Sept 2024|28.71|28.97|28.61|28.89|28.89|1,071,990
09 Sept 2024|28.25|28.78|28.19|28.72|28.72|1,122,392
06 Sept 2024|28.82|28.99|28.40|28.48|28.48|1,011,346
05 Sept 2024|28.58|28.88|28.56|28.78|28.78|1,101,432
04 Sept 2024|29.55|29.72|28.73|28.95|28.95|1,232,974
03 Sept 2024|29.62|29.72|29.37|29.50|29.50|1,006,414
02 Sept 2024|29.10|29.65|29.01|29.63|29.63|913,230
30 Aug 2024|29.42|29.51|28.89|28.93|28.93|2,818,353
30 Aug 2024|0.6Dividend
29 Aug 2024|30.10|30.24|29.81|29.95|29.35|1,534,578
28 Aug 2024|30.03|30.36|29.81|30.06|29.46|1,463,000
27 Aug 2024|30.57|30.68|30.05|30.05|29.45|1,106,251
26 Aug 2024|30.95|30.98|30.31|30.39|29.78|1,077,848
23 Aug 2024|30.62|30.84|30.15|30.51|29.90|1,809,944
22 Aug 2024|30.88|31.11|30.68|30.68|30.07|1,522,637
21 Aug 2024|30.44|30.89|30.20|30.71|30.09|2,152,494
20 Aug 2024|30.33|31.31|30.18|31.03|30.41|2,188,613
19 Aug 2024|31.98|32.06|30.50|30.54|29.93|2,546,023
16 Aug 2024|32.04|32.30|31.93|32.09|31.45|969,901
15 Aug 2024|31.94|32.11|31.62|31.62|30.99|1,431,213
14 Aug 2024|32.10|32.26|31.91|31.97|31.33|1,269,792
13 Aug 2024|32.31|32.36|31.85|32.00|31.36|1,421,074
12 Aug 2024|32.42|32.58|32.22|32.29|31.64|730,968
09 Aug 2024|32.31|32.44|32.13|32.24|31.59|1,748,881
08 Aug 2024|32.37|32.57|32.08|32.08|31.44|766,523
07 Aug 2024|32.36|32.78|32.22|32.37|31.72|903,225
06 Aug 2024|32.50|32.70|32.09|32.21|31.56|1,037,519
05 Aug 2024|33.30|33.43|32.44|32.48|31.83|1,037,453
02 Aug 2024|33.47|33.85|33.30|33.73|33.05|1,381,336
01 Aug 2024|33.80|33.85|33.55|33.56|32.89|988,924
31 July 2024|33.45|33.81|33.21|33.47|32.80|1,521,690
30 July 2024|33.39|33.51|33.01|33.03|32.37|1,048,312
29 July 2024|33.12|33.63|33.03|33.30|32.63|960,262
26 July 2024|32.00|33.26|31.99|33.00|32.34|2,290,083
25 July 2024|31.81|33.28|31.71|32.50|31.85|2,305,080
24 July 2024|33.54|33.59|32.76|33.10|32.44|867,569
23 July 2024|33.50|33.68|33.40|33.53|32.86|437,213
22 July 2024|33.39|33.60|33.12|33.42|32.75|607,072
19 July 2024|33.60|33.78|33.20|33.39|32.72|778,573
18 July 2024|34.22|34.22|33.63|33.72|33.04|911,093
17 July 2024|33.99|34.57|33.83|34.22|33.53|1,508,893
16 July 2024|34.17|34.32|33.68|33.99|33.31|1,405,626
15 July 2024|34.00|34.21|33.69|34.03|33.35|784,076
12 July 2024|33.62|34.01|33.60|33.67|33.00|751,038
11 July 2024|33.33|33.43|32.80|33.10|32.44|804,267
10 July 2024|33.38|33.41|33.06|33.12|32.46|1,395,353
09 July 2024|33.16|33.60|33.08|33.43|32.76|734,521
08 July 2024|33.23|33.35|32.84|33.15|32.49|612,225
05 July 2024|33.14|33.69|33.02|33.13|32.47|770,546
04 July 2024|33.10|33.31|32.80|33.14|32.48|508,070
03 July 2024|32.65|33.01|32.47|32.79|32.13|783,957
02 July 2024|32.62|32.94|32.41|32.66|32.01|1,008,971
01 July 2024|32.31|32.78|32.20|32.61|31.96|835,917
28 June 2024|33.09|33.09|32.34|32.34|31.69|1,129,766
27 June 2024|32.42|32.94|32.24|32.94|32.28|1,187,830
26 June 2024|33.18|33.24|32.30|32.49|31.84|930,963
25 June 2024|32.52|33.15|32.43|32.83|32.17|979,768
24 June 2024|32.86|33.05|32.07|32.21|31.56|555,764
21 June 2024|33.10|33.10|32.37|32.80|32.14|2,345,282
20 June 2024|33.34|33.60|33.04|33.06|32.40|1,294,009
19 June 2024|33.27|33.32|32.80|33.25|32.58|897,326
18 June 2024|32.66|33.20|32.45|33.20|32.53|985,279
17 June 2024|32.83|33.01|32.46|32.46|31.81|678,916
14 June 2024|33.37|33.65|32.70|33.10|32.44|785,686
13 June 2024|33.50|33.79|33.19|33.23|32.56|1,057,670
12 June 2024|33.41|33.99|33.34|33.57|32.90|1,207,889
11 June 2024|34.64|34.76|33.58|33.59|32.92|947,710
07 June 2024|34.58|34.83|34.34|34.46|33.77|518,186
06 June 2024|34.58|34.96|34.50|34.54|33.85|510,157
05 June 2024|34.57|34.81|34.21|34.56|33.87|864,462
04 June 2024|34.74|34.95|34.41|34.51|33.82|617,746
