Date|Open|High|Low|Close*|Adj. close**|Volume
20 Sept 2024|144.50|144.83|143.60|143.69|143.69|3,149,981
19 Sept 2024|144.50|145.00|143.18|144.02|144.02|3,443,075
18 Sept 2024|142.65|143.75|142.36|143.32|143.32|1,505,418
17 Sept 2024|144.00|144.00|143.03|143.04|143.04|1,556,054
16 Sept 2024|142.05|143.12|141.85|142.99|142.99|1,751,879
13 Sept 2024|143.40|143.58|140.94|141.65|141.65|1,991,893
12 Sept 2024|141.96|143.07|141.66|142.96|142.96|1,811,911
11 Sept 2024|143.40|143.49|140.79|141.05|141.05|2,649,391
10 Sept 2024|144.06|145.24|143.19|143.77|143.77|2,029,126
09 Sept 2024|140.87|143.00|140.50|142.95|142.95|1,988,596
06 Sept 2024|141.78|144.25|141.40|143.47|143.47|2,666,532
05 Sept 2024|140.63|141.85|140.34|141.35|141.35|1,585,378
04 Sept 2024|141.50|141.57|139.04|139.94|139.94|2,211,376
03 Sept 2024|141.64|143.38|141.45|143.38|143.38|1,892,624
02 Sept 2024|139.35|141.87|138.67|141.77|141.77|1,751,323
30 Aug 2024|139.45|139.88|139.00|139.50|139.50|4,322,628
29 Aug 2024|138.35|139.33|138.03|138.80|138.80|2,115,830
28 Aug 2024|136.95|138.57|136.20|138.57|138.57|2,608,279
27 Aug 2024|138.34|138.49|136.80|137.43|137.43|2,163,558
26 Aug 2024|137.51|139.29|137.18|138.81|138.81|1,888,745
23 Aug 2024|136.40|136.80|135.85|136.80|136.80|1,738,992
22 Aug 2024|136.95|136.99|135.98|136.46|136.46|1,565,951
21 Aug 2024|138.22|138.37|135.65|136.03|136.03|3,533,301
21 Aug 2024|2.5Dividend
20 Aug 2024|140.25|141.34|139.02|139.60|137.10|1,651,316
19 Aug 2024|137.72|139.25|137.37|139.25|136.76|1,937,287
16 Aug 2024|137.04|138.13|136.54|138.13|135.66|4,427,410
15 Aug 2024|134.00|136.09|133.94|134.90|132.48|2,248,327
14 Aug 2024|134.50|134.59|132.71|134.21|131.81|1,734,568
13 Aug 2024|130.43|132.52|130.23|132.52|130.15|1,465,262
12 Aug 2024|130.70|131.04|130.15|130.53|128.19|886,756
09 Aug 2024|130.00|130.23|128.88|129.55|127.23|1,941,651
08 Aug 2024|127.35|129.11|126.96|129.11|126.80|1,663,083
07 Aug 2024|126.88|128.21|126.73|127.34|125.06|1,843,515
06 Aug 2024|125.50|128.42|125.50|127.69|125.40|2,570,052
05 Aug 2024|130.60|130.78|124.89|124.89|122.65|3,591,234
02 Aug 2024|133.50|134.25|131.66|132.46|130.09|3,839,143
01 Aug 2024|138.21|138.24|136.27|136.27|133.83|1,586,163
31 July 2024|136.34|137.53|135.60|137.49|135.03|2,235,562
30 July 2024|133.51|135.95|133.29|135.95|133.52|1,937,077
29 July 2024|133.83|134.90|133.80|134.90|132.48|1,391,737
26 July 2024|133.36|133.46|132.53|133.14|130.76|1,901,929
25 July 2024|131.35|132.60|131.20|132.60|130.23|1,796,200
24 July 2024|132.60|133.10|132.27|132.78|130.40|1,130,255
23 July 2024|132.59|133.31|132.10|133.14|130.76|1,351,942
22 July 2024|130.51|131.68|130.18|131.68|129.32|1,192,662
19 July 2024|130.86|131.63|130.40|131.63|129.27|4,022,762
18 July 2024|133.24|134.00|131.91|132.66|130.28|2,061,262
17 July 2024|132.50|134.25|132.00|133.50|131.11|1,919,380
16 July 2024|132.43|133.08|132.02|132.44|130.07|1,732,649
15 July 2024|132.75|133.30|131.90|132.69|130.31|1,364,623
12 July 2024|130.80|131.84|129.89|131.66|129.30|1,965,561
11 July 2024|130.17|130.30|129.30|129.92|127.59|1,598,054
10 July 2024|128.00|128.54|127.26|128.54|126.24|1,246,766
09 July 2024|127.50|128.97|126.98|128.69|126.39|1,781,761
08 July 2024|126.90|127.17|126.09|126.47|124.21|1,027,669
05 July 2024|127.58|127.85|126.65|127.10|124.82|1,084,617
04 July 2024|126.51|127.86|126.19|127.86|125.57|1,394,064
03 July 2024|126.23|126.44|124.80|125.38|123.13|1,441,307
02 July 2024|125.80|126.20|125.40|125.66|123.41|1,457,744
01 July 2024|126.44|126.53|125.43|126.20|123.94|1,585,105
28 June 2024|127.00|127.61|126.27|127.38|125.10|2,190,551
27 June 2024|125.00|126.20|124.35|126.20|123.94|2,021,794
26 June 2024|127.64|128.09|126.64|126.90|124.63|1,900,389
25 June 2024|128.11|128.68|127.51|128.63|126.33|2,092,832
24 June 2024|127.60|127.99|126.80|126.80|124.53|1,767,854
21 June 2024|128.00|128.25|125.90|127.68|125.39|7,145,883
20 June 2024|126.65|127.84|126.53|127.75|125.46|3,548,847
19 June 2024|127.79|127.88|126.77|126.94|124.67|2,012,104
18 June 2024|126.58|127.99|126.20|127.98|125.69|2,236,320
17 June 2024|124.99|125.60|124.76|125.49|123.24|1,531,082
14 June 2024|125.36|125.60|124.85|125.31|123.07|1,597,350
13 June 2024|125.33|125.69|124.90|125.48|123.23|2,582,193
12 June 2024|124.35|124.60|123.40|124.10|121.88|1,809,137
11 June 2024|124.05|125.03|123.72|124.93|122.69|2,514,626
07 June 2024|125.00|125.55|124.08|125.55|123.30|1,414,714
06 June 2024|124.50|125.97|124.21|124.85|122.61|2,636,419
05 June 2024|123.17|123.95|122.82|123.47|121.26|2,389,848
04 June 2024|121.15|122.49|121.05|122.46|120.27|2,230,997
03 June 2024|120.34|121.29|120.22|121.29|119.12|1,686,338
