Date|Open|High|Low|Close*|Adj. close**|Volume
20 Sept 2024|39.66|39.77|39.43|39.46|39.46|4,635,574
19 Sept 2024|39.75|39.75|39.20|39.50|39.50|7,219,260
18 Sept 2024|38.91|39.42|38.82|39.42|39.42|5,069,431
17 Sept 2024|38.90|38.90|38.60|38.86|38.86|2,159,496
16 Sept 2024|38.50|38.81|38.34|38.78|38.78|3,745,229
13 Sept 2024|39.00|39.07|38.07|38.28|38.28|4,749,263
12 Sept 2024|38.68|38.78|38.48|38.76|38.76|2,728,013
11 Sept 2024|38.89|39.00|38.13|38.38|38.38|3,617,429
10 Sept 2024|39.15|39.40|38.95|38.95|38.95|2,861,332
09 Sept 2024|38.40|38.93|38.40|38.93|38.93|3,911,396
06 Sept 2024|38.64|39.05|38.54|39.05|39.05|4,166,943
05 Sept 2024|38.29|38.61|38.21|38.50|38.50|4,817,600
04 Sept 2024|38.51|38.53|37.53|37.95|37.95|5,158,642
03 Sept 2024|38.55|38.97|38.45|38.92|38.92|2,721,576
02 Sept 2024|38.08|38.72|37.96|38.65|38.65|2,908,987
30 Aug 2024|38.17|38.20|37.92|38.17|38.17|6,252,369
29 Aug 2024|37.70|38.16|37.63|37.94|37.94|4,606,120
28 Aug 2024|37.19|37.70|36.90|37.70|37.70|6,163,725
27 Aug 2024|37.74|37.88|37.18|37.36|37.36|2,612,875
26 Aug 2024|37.11|37.75|36.92|37.75|37.75|5,040,735
23 Aug 2024|36.84|37.00|36.74|36.93|36.93|2,516,361
22 Aug 2024|36.92|36.98|36.81|36.90|36.90|2,487,601
21 Aug 2024|36.98|37.03|36.70|36.81|36.81|4,414,061
20 Aug 2024|36.96|37.09|36.65|36.88|36.88|3,707,615
19 Aug 2024|36.70|37.07|36.48|36.91|36.91|3,548,273
16 Aug 2024|36.33|36.59|36.26|36.48|36.48|5,397,149
15 Aug 2024|35.88|36.45|35.83|35.94|35.94|4,060,196
14 Aug 2024|36.54|36.57|35.70|35.79|35.79|3,781,396
13 Aug 2024|36.06|36.33|36.05|36.20|36.20|2,456,618
12 Aug 2024|36.07|36.19|35.93|35.99|35.99|1,782,890
09 Aug 2024|35.73|35.79|35.43|35.63|35.63|2,142,901
08 Aug 2024|34.88|35.43|34.70|35.31|35.31|4,673,279
07 Aug 2024|34.92|35.14|34.67|34.74|34.74|5,362,260
06 Aug 2024|34.92|35.36|34.77|35.05|35.05|6,830,435
05 Aug 2024|35.67|35.69|34.70|34.81|34.81|6,371,420
02 Aug 2024|37.10|37.14|36.43|36.50|36.50|8,554,924
01 Aug 2024|38.77|38.85|38.05|38.05|38.05|4,289,722
31 July 2024|37.99|38.58|37.93|38.58|38.58|5,839,569
30 July 2024|37.58|37.97|37.39|37.92|37.92|2,726,453
29 July 2024|37.77|37.97|37.74|37.90|37.90|2,510,230
26 July 2024|37.50|37.54|37.34|37.41|37.41|2,881,664
25 July 2024|37.27|37.46|37.12|37.24|37.24|3,940,904
24 July 2024|37.29|37.64|37.25|37.59|37.59|2,796,472
23 July 2024|37.08|37.58|37.08|37.36|37.36|2,778,041
22 July 2024|36.95|37.06|36.80|36.92|36.92|2,916,497
19 July 2024|37.15|37.30|37.10|37.24|37.24|7,213,567
18 July 2024|37.88|38.08|37.62|37.69|37.69|5,631,625
17 July 2024|37.57|37.82|37.41|37.77|37.77|4,124,830
16 July 2024|37.50|37.68|37.34|37.38|37.38|3,283,901
15 July 2024|37.25|37.50|37.15|37.25|37.25|3,417,585
12 July 2024|36.64|36.98|36.37|36.95|36.95|4,169,898
11 July 2024|36.39|36.49|36.06|36.20|36.20|3,480,897
10 July 2024|35.71|35.90|35.59|35.82|35.82|2,359,635
09 July 2024|35.65|35.84|35.36|35.84|35.84|3,391,209
08 July 2024|35.27|35.38|35.13|35.33|35.33|2,553,538
05 July 2024|35.65|35.68|35.15|35.33|35.33|2,859,689
04 July 2024|35.83|35.88|35.64|35.77|35.77|2,610,789
03 July 2024|35.80|35.85|35.37|35.45|35.45|3,243,753
02 July 2024|35.93|35.99|35.58|35.69|35.69|3,809,297
01 July 2024|35.75|36.18|35.74|36.07|36.07|2,662,079
28 June 2024|36.26|36.44|36.07|36.23|36.23|4,216,110
27 June 2024|35.75|36.03|35.46|36.03|36.03|4,263,137
26 June 2024|36.60|36.65|36.24|36.29|36.29|3,518,290
25 June 2024|36.28|36.72|36.19|36.69|36.69|3,892,386
24 June 2024|36.20|36.46|35.96|35.96|35.96|3,362,441
21 June 2024|36.24|36.28|35.75|36.21|36.21|13,600,313
20 June 2024|36.42|36.42|36.02|36.19|36.19|6,305,062
19 June 2024|35.80|36.17|35.77|36.17|36.17|3,865,097
18 June 2024|35.55|36.00|35.49|36.00|36.00|5,113,698
17 June 2024|34.96|35.29|34.89|35.26|35.26|3,707,804
14 June 2024|34.95|35.09|34.83|35.02|35.02|8,416,620
13 June 2024|35.16|35.23|34.93|35.01|35.01|3,761,631
12 June 2024|34.70|34.80|34.48|34.74|34.74|3,601,408
11 June 2024|34.91|35.00|34.64|34.87|34.87|4,942,991
07 June 2024|34.89|35.23|34.76|35.23|35.23|3,276,495
06 June 2024|34.90|35.04|34.73|35.00|35.00|5,136,740
05 June 2024|34.65|34.83|34.55|34.80|34.80|4,889,481
04 June 2024|34.60|34.80|34.50|34.56|34.56|4,114,353
03 June 2024|34.17|34.46|34.00|34.46|34.46|3,812,520
31 May 2024|33.87|33.91|33.62|33.91|33.91|7,798,482
30 May 2024|33.30|33.69|33.30|33.61|33.61|2,480,697
